filename,start_date,finish_date,start_time,end_time,start_coordinates,end_coordinates
activity_19477846830.gpx,2025-06-19,2025-06-19,1:59:38,5:05:51,"66.556214,-20.550134","66.567175,-20.348407"
activity_19477848953.gpx,2025-06-19,2025-06-19,5:14:32,5:33:51,"66.566077,-20.349593","66.567410,-20.322392"
activity_19484969406.gpx,2025-06-19,2025-06-19,15:59:26,19:19:45,"66.567687,-20.323359","66.583262,-20.140696"
activity_19495038573.gpx,2025-06-20,2025-06-20,5:06:25,7:39:15,"66.583358,-20.141221","66.570415,-19.980235"
activity_19495050043.gpx,2025-06-20,2025-06-20,18:45:35,21:09:44,"66.570830,-19.981953","66.574306,-19.921277"
activity_19497175015.gpx,2025-06-21,2025-06-21,5:05:04,6:01:10,"66.574340,-19.921907","66.575991,-19.875838"
activity_19590954880.gpx,2025-06-30,2025-06-30,15:26:40,16:19:39,"66.572306,-19.420520","66.571449,-19.381472"
activity_19747240513.gpx,2025-07-16,2025-07-16,0:58:32,4:01:34,"66.438791,-14.784394","66.407980,-14.595072"
19996637757_ACTIVITY.fit,2025-07-23,2025-07-24,20:55:21,0:14:12,"65.478306,-13.589766","65.337800,-13.626888"
19996615612_ACTIVITY.fit,2025-07-23,2025-07-23,9:06:57,13:21:24,"65.597755,-13.623712","65.477901,-13.588846"
19996689335_ACTIVITY.fit,2025-07-26,2025-07-26,12:29:36,16:51:52,"65.220228,-13.536782","65.040733,-13.480938"
19997350250_ACTIVITY.fit,2025-07-27,2025-07-27,1:04:02,4:36:03,"65.040683,-13.481001","64.918389,-13.644863"
19997373177_ACTIVITY.fit,2025-07-28,2025-07-28,2:03:05,5:46:47,"64.758587,-13.830821","64.661925,-14.106202"
19997384110_ACTIVITY.fit,2025-07-28,2025-07-28,14:57:38,18:25:50,"64.662129,-14.105350","64.573353,-14.290381"
19997406378_ACTIVITY.fit,2025-07-29,2025-07-29,16:00:55,19:27:52,"64.429447,-14.343233","64.337380,-14.454982"
19997489053_ACTIVITY.fit,2025-08-06,2025-08-06,10:59:02,12:59:09,"63.367825,-19.269368","63.371148,-19.172476"
19997494643_ACTIVITY.fit,2025-08-07,2025-08-08,22:10:26,0:09:41,"63.371086,-19.171901","63.356542,-19.035403"
20051751116_ACTIVITY.fit,2025-08-12,2025-08-12,14:23:16,18:11:43,"63.542271,-20.442109","63.576775,-20.644214"
20058479880_ACTIVITY.fit,2025-08-14,2025-08-14,12:35:42,17:05:47,"63.684963,-22.218540","63.674197,-21.923044"
20113993013_ACTIVITY.fit,2025-08-19,2025-08-19,16:59:13,20:58:38,"63.370349,-18.540869","63.343001,-18.235201"
activity_20140335773.gpx,2025-08-22,2025-08-22,10:13:31,11:44:54,"63.387025,-17.759329","63.397919,-17.697011"
activity_20147844706.gpx,2025-08-23,2025-08-23,3:38:36,7:03:32,"64.167725,-15.189970","64.088799,-15.440731"
20155267747_ACTIVITY.fit,2025-08-23,2025-08-23,15:11:12,19:09:51,"64.088831,-15.440333","64.019977,-15.682576"
activity_20166260926.gpx,2025-08-24,2025-08-24,18:04:12,19:14:02,"63.959986,-15.872499","63.948779,-15.910369"
