filename,start_date,finish_date,start_time,end_time,start_coordinates,end_coordinates
19850516244_ACTIVITY.fit,2025-07-21,2025-07-21,6:40:15,10:26:08,"65.941331,-14.166608","65.849153,-14.019836"
19996615612_ACTIVITY.fit,2025-07-23,2025-07-23,9:06:57,13:21:24,"65.597755,-13.623712","65.477901,-13.588846"
19996637757_ACTIVITY.fit,2025-07-23,2025-07-24,20:55:21,0:14:12,"65.478306,-13.589766","65.337800,-13.626888"
19996651271_ACTIVITY.fit,2025-07-24,2025-07-24,9:56:51,13:27:55,"65.337977,-13.626841","65.220099,-13.536500"
19996689335_ACTIVITY.fit,2025-07-26,2025-07-26,12:29:36,16:51:52,"65.220228,-13.536782","65.040733,-13.480938"
19997350250_ACTIVITY.fit,2025-07-27,2025-07-27,1:04:02,4:36:03,"65.040683,-13.481001","64.918389,-13.644863"
19997361287_ACTIVITY.fit,2025-07-27,2025-07-27,13:00:46,16:33:54,"64.918461,-13.644756","64.758094,-13.833969"
19997373177_ACTIVITY.fit,2025-07-28,2025-07-28,2:03:05,5:46:47,"64.758587,-13.830821","64.661925,-14.106202"
19997384110_ACTIVITY.fit,2025-07-28,2025-07-28,14:57:38,18:25:50,"64.662129,-14.105350","64.573353,-14.290381"
19997396351_ACTIVITY.fit,2025-07-29,2025-07-29,4:00:54,7:59:59,"64.573740,-14.290118","64.428657,-14.347811"
19997406378_ACTIVITY.fit,2025-07-29,2025-07-29,16:00:55,19:27:52,"64.429447,-14.343233","64.337380,-14.454982"
19997412906_ACTIVITY.fit,2025-07-30,2025-07-30,5:03:39,5:04:56,"64.337339,-14.454475","64.337353,-14.454313"
19997423960_ACTIVITY.fit,2025-07-31,2025-07-31,5:39:14,9:10:43,"64.288802,-14.626737","64.242447,-14.786197"
19997428716_ACTIVITY.fit,2025-07-31,2025-07-31,17:02:17,18:38:31,"64.242412,-14.785312","64.229997,-14.828463"
19997442779_ACTIVITY.fit,2025-08-01,2025-08-01,6:04:02,8:00:03,"64.211601,-14.910050","64.191962,-15.081280"
19997452193_ACTIVITY.fit,2025-08-04,2025-08-04,13:58:33,15:57:46,"63.496525,-20.202464","63.494835,-20.080771"
