filename,start_date,finish_date,start_time,end_time,start_coordinates,end_coordinates
activity_19169393276 (1).gpx,2025-05-19,2025-05-19,07:42:23,09:25:07,"64.250151,-22.965222","64.243523,-22.955669"
activity_19234640288.gpx,2025-05-25,2025-05-25,18:04:57,19:20:29,"64.904400,-24.093704","64.931750,-24.121634"
activity_19192083239 (3).gpx,2025-05-21,2025-05-21,03:05:10,04:40:45,"64.494504,-23.450739","64.526390,-23.501975"
activity_19166371124 (1).gpx,2025-05-18,2025-05-18,19:31:35,20:35:30,"64.231764,-22.940276","64.250809,-22.966341"
activity_19200649488 (2).gpx,2025-05-21,2025-05-21,17:13:21,19:08:41,"64.545497,-23.541344","64.572202,-23.623927"
activity_19192324756 (1).gpx,2025-05-20,2025-05-21,23:09:13,01:05:35,"64.464375,-23.363375","64.494894,-23.452988"
activity_19164261634 (1).gpx,2025-05-18,2025-05-18,05:34:46,09:29:26,"64.137775,-22.743957","64.202611,-22.873987"
activity_19220593748.gpx,2025-05-24,2025-05-24,01:01:21,02:05:29,"64.609738,-23.694308","64.629780,-23.726636"
activity_19230893797.gpx,2025-05-24,2025-05-24,17:05:12,18:22:08,"64.724790,-23.937852","64.761989,-23.985821"
activity_19234638364.gpx,2025-05-25,2025-05-25,14:19:45,16:09:00,"64.857479,-24.064642","64.904816,-24.093953"
activity_19230897426.gpx,2025-05-25,2025-05-25,02:08:29,04:10:07,"64.761875,-23.985806","64.814458,-24.042031"
activity_19220595603.gpx,2025-05-24,2025-05-24,05:16:19,07:06:27,"64.628256,-23.723293","64.663211,-23.829151"
activity_19230900188.gpx,2025-05-25,2025-05-25,06:05:49,07:42:28,"64.814323,-24.041486","64.857652,-24.064913"
activity_19200652083 (2).gpx,2025-05-22,2025-05-22,00:13:33,03:00:02,"64.572101,-23.623679","64.615078,-23.708262"
