filename,start_date,finish_date,start_time,end_time,start_coordinates,end_coordinates
1Navionics swim track 17_05_2025.gpx,2025-05-17,2025-05-17,15:22:57,18:11:37,"64.098838,-22.695829","64.166949,-22.710848"
2_timezero_swimtrack_18-05-2025.gpx,2025-05-18,2025-05-18,5:37:03,5:37:03,"64.138623,-22.745062","64.138623,-22.745062"
3_Navionics_swim track_18-05-2025.gpx,2025-05-18,2025-05-18,14:06:00,18:35:42,"64.203081,-22.874443","64.237794,-22.906691"
4_Navionics swim track_18-05-25.gpx,2025-05-18,2025-05-18,19:54:38,22:17:06,"64.240831,-22.950509","64.330580,-23.091620"
5_timezero_swimtrack_19-05-2025.gpx,2025-05-19,2025-05-19,7:48:24,8:07:59,"64.251717,-22.970002","64.255366,-22.982128"
6_Navionics_swim track_19_5_2025.gpx,2025-05-19,2025-05-19,10:05:48,12:32:32,"64.262114,-22.997911","64.285723,-23.091081"
7_Navionics_swim track_19-05-2025.gpx,2025-05-19,2025-05-20,22:07:43,0:35:41,"64.289344,-23.061896","64.334799,-23.173175"
8_navionics swim track_20-05-2025.gpx,2025-05-20,2025-05-20,2:03:05,4:35:40,"64.334632,-23.155748","64.386308,-23.237986"
9 & 10_navionics swim track_20-05-2025.gpx,2025-05-20,2025-05-20,10:06:54,16:28:05,"64.381933,-23.226694","64.476350,-23.337946"
11_navionics swim track_20-05-2025.gpx,2025-05-20,2025-05-21,23:09:18,1:44:54,"64.464407,-23.363565","64.489574,-23.454822"
12_navionics_swimtrack_21-06-2025.gpx,2025-05-21,2025-05-21,3:06:27,4:53:09,"64.495194,-23.451758","64.531105,-23.491588"
13_navionics swim track_21-05-2025.gpx,2025-05-21,2025-05-21,11:43:53,13:09:09,"64.530274,-23.504631","64.545663,-23.541793"
14_navionics swim track_21_5_25.gpx,2025-05-21,2025-05-21,17:13:34,19:12:31,"64.545837,-23.541497","64.572295,-23.621794"
15_timezero_swimtrack_22-05-2025.gpx,2025-05-22,2025-05-22,0:12:48,2:01:26,"64.571827,-23.623661","64.610202,-23.696278"
15_navionics swim track_22_5_25.gpx,2025-05-22,2025-05-22,0:14:49,2:04:30,"64.572960,-23.624749","64.611503,-23.697627"
16_Navionics Swim track_24_5_25.gpx,2025-05-24,2025-05-24,13:15:53,15:18:33,"64.663335,-23.829234","64.725764,-23.942066"
17_Navionics swim track_24_5_25.gpx,2025-05-24,2025-05-24,17:05:12,18:22:18,"64.724758,-23.937683","64.762031,-23.985795"
18_Navionics swim track_24_5_25.gpx,2025-05-25,2025-05-25,2:08:59,7:42:43,"64.762127,-23.985947","64.857677,-24.064888"
20_timezero_swimtrack_25-05-2025.gpx,2025-05-25,2025-05-25,2:10:56,4:10:06,"64.762878,-23.986546","64.814529,-24.042081"
21_timezero_swimtrack_25-05-2025.gpx,2025-05-25,2025-05-25,6:02:59,6:02:59,"64.813970,-24.042069","64.813970,-24.042069"
22_timezero_swimtrack_25-05-2025.gpx,2025-05-25,2025-05-25,14:20:10,16:09:35,"64.857609,-24.065109","64.904790,-24.093818"
19_Navionics Swim track_24_5_25.gpx,2025-05-25,2025-05-25,15:45:39,16:09:33,"64.895327,-24.089789","64.904762,-24.093795"
23_timezero_swimtrack_25-05-2025.gpx,2025-05-25,2025-05-25,18:07:33,19:21:48,"64.905918,-24.093359","64.931428,-24.120525"
24_Navionics swim track_28_5_25.gpx,2025-05-28,2025-05-28,19:35:06,19:38:46,"64.932045,-24.118560","64.935550,-24.119351"
25_Navionics swim track_28_5_25.gpx,2025-05-28,2025-05-28,19:49:56,21:42:07,"64.934556,-24.116899","64.998194,-24.186345"
26_Navionics_swim track_29-5-2025.gpx,2025-05-29,2025-05-29,6:08:19,7:56:28,"64.998540,-24.186857","65.038464,-24.224324"
27_Navionics_swim track_29-5-2025.gpx,2025-05-29,2025-05-29,10:01:02,17:43:59,"65.038638,-24.224638","65.077649,-24.299833"
28_Navionics_swim track_30-5-25.gpx,2025-05-29,2025-05-30,17:44:03,7:09:40,"65.077657,-24.299815","65.155767,-24.315320"
29_navionics_swim track_30-5-25.gpx,2025-05-30,2025-05-30,11:05:38,17:25:54,"65.195432,-24.340642","65.227898,-24.329234"
30Navionics_swim track_30-5-25.gpx,2025-05-30,2025-05-30,18:20:28,21:12:01,"65.244797,-24.379376","65.263180,-24.387083"
31_Navionics_swim track_30-5-25.gpx,2025-05-30,2025-05-30,21:12:05,23:56:03,"65.263165,-24.387164","65.310747,-24.459080"
34_navionics_swim track_31052025.gpx,2025-05-31,2025-05-31,8:58:15,12:57:11,"65.306994,-24.460221","65.389815,-24.532362"
35_navionics_swimtrack_31052025.gpx,2025-05-31,2025-06-01,19:48:38,0:05:21,"65.388575,-24.533144","65.541624,-24.616621"
36_navionics_swimtrack_01062025.gpx,2025-06-01,2025-06-01,9:53:57,12:41:04,"65.541110,-24.616971","65.606168,-24.506078"
37_navionics_swimtrack_01-06-2025.gpx,2025-06-01,2025-06-01,12:55:10,13:29:34,"65.604987,-24.518546","65.620680,-24.492784"
38_navionics_swimtrack_01-06-2025.gpx,2025-06-01,2025-06-01,22:01:28,23:56:40,"65.620613,-24.492595","65.662430,-24.458362"
41_timezero_swimtrack_06-06-2025.gpx,2025-06-06,2025-06-06,2:45:25,5:56:42,"65.663734,-24.457853","65.733165,-24.393826"
"42, 43, 44_navionics_swimtrack_06-06-2025.gpx",2025-06-06,2025-06-07,14:39:20,16:09:06,"65.732829,-24.393448","65.891077,-24.204016"
44_navionics_swimtrack_207-06-2025.gpx,2025-06-07,2025-06-07,3:12:35,5:16:47,"65.833561,-24.246709","65.869322,-24.234304"
45_navionics_swimtrack_07-06-2025.gpx,2025-06-07,2025-06-07,5:41:44,6:32:26,"65.873399,-24.225995","65.891316,-24.204014"
46_navionics_swimtrack_07-06-2025.gpx,2025-06-07,2025-06-07,16:09:28,17:35:45,"65.891110,-24.204032","65.900035,-24.201822"
47_navionics_swimtrack_08-06-2025.gpx,2025-06-08,2025-06-08,4:29:22,4:45:18,"65.900880,-24.196756","65.906090,-24.185904"
47…_navionics_swimtrack_08-06-2025.gpx,2025-06-08,2025-06-08,5:32:02,7:17:52,"65.922818,-24.157896","65.960146,-24.095394"
48_navionics_swimtrack_08-06-2025.gpx,2025-06-08,2025-06-08,7:35:30,8:15:35,"65.960128,-24.095043","65.969728,-24.090004"
49_navionics_swimtrack_08-06-2025.gpx,2025-06-08,2025-06-08,17:49:27,20:50:08,"65.973353,-24.074868","66.079846,-23.920355"
50_timezero_swimtrack_08-06-2025.gpx,2025-06-08,2025-06-08,21:07:07,21:37:46,"66.080153,-23.919988","66.101696,-23.875616"
51_navionics_swimtrack_09-06-2025.gpx,2025-06-09,2025-06-09,5:05:54,5:20:48,"66.101244,-23.877013","66.107408,-23.866467"
52_navionics_swimtrack_09-06-2025.gpx,2025-06-09,2025-06-09,5:34:30,16:26:49,"66.107084,-23.867168","66.165556,-23.710140"
53_navionics_swimtrack_09-06-2025.gpx,2025-06-09,2025-06-09,18:49:55,18:51:11,"66.180589,-23.751990","66.180970,-23.751451"
