filename,start_date,finish_date,start_time,end_time,start_coordinates,end_coordinates
1Navionics swim track 17_05_2025.gpx,2025-05-17,2025-05-17,15:22:57,18:11:37,"64.098838,-22.695829","64.166949,-22.710848"
3_Navionics_swim track_18-05-2025.gpx,2025-05-18,2025-05-18,14:06:00,18:35:42,"64.203081,-22.874443","64.237794,-22.906691"
4_Navionics swim track_18-05-25.gpx,2025-05-18,2025-05-18,19:54:38,22:17:06,"64.240831,-22.950509","64.330580,-23.091620"
7_Navionics_swim track_19-05-2025.gpx,2025-05-19,2025-05-20,22:07:43,0:35:41,"64.289344,-23.061896","64.334799,-23.173175"
11_navionics swim track_20-05-2025.gpx,2025-05-20,2025-05-21,23:09:18,1:44:54,"64.464407,-23.363565","64.489574,-23.454822"
16_Navionics Swim track_24_5_25.gpx,2025-05-24,2025-05-24,13:15:53,15:18:33,"64.663335,-23.829234","64.725764,-23.942066"
17_Navionics swim track_24_5_25.gpx,2025-05-24,2025-05-24,17:05:12,18:22:18,"64.724758,-23.937683","64.762031,-23.985795"
18_Navionics swim track_24_5_25.gpx,2025-05-25,2025-05-25,2:08:59,7:42:43,"64.762127,-23.985947","64.857677,-24.064888"
22_timezero_swimtrack_25-05-2025.gpx,2025-05-25,2025-05-25,14:20:10,16:09:35,"64.857609,-24.065109","64.904790,-24.093818"
23_timezero_swimtrack_25-05-2025.gpx,2025-05-25,2025-05-25,18:07:33,19:21:48,"64.905918,-24.093359","64.931428,-24.120525"
24_Navionics swim track_28_5_25.gpx,2025-05-28,2025-05-28,19:35:06,19:38:46,"64.932045,-24.118560","64.935550,-24.119351"
35_navionics_swimtrack_31052025.gpx,2025-05-31,2025-06-01,19:48:38,0:05:21,"65.388575,-24.533144","65.541624,-24.616621"
51_navionics_swimtrack_09-06-2025.gpx,2025-06-09,2025-06-09,5:05:54,5:20:48,"66.101244,-23.877013","66.107408,-23.866467"
62_navionics_swimtrack_12-06-2025.gpx,2025-06-12,2025-06-13,21:55:55,0:52:02,"66.456050,-23.191688","66.480493,-22.909341"
69_timezero_swimtrack_14-06-2025.gpx,2025-06-14,2025-06-15,22:12:18,1:23:47,"66.505466,-22.174351","66.507885,-21.949131"
193_timezero_swimtrack_21-08-2025.gpx,2025-08-21,2025-08-21,19:03:52,21:14:43,"63.365657,-17.932521","63.382286,-17.821820"
