filename,start_date,finish_date,start_time,end_time,start_coordinates,end_coordinates
Leg 6.gpx,2025-05-19,2025-05-19,9:44:01,11:43:53,"64.255403,-22.981612","64.289282,-23.063085"
Leg 7.gpx,2025-05-20,2025-05-20,2:02:42,3:55:01,"64.334358,-23.155821","64.380993,-23.226071"
Leg 8.gpx,2025-05-20,2025-05-20,10:04:09,11:59:48,"64.380925,-23.224964","64.423451,-23.306923"
Leg 9.gpx,2025-05-20,2025-05-20,13:58:36,15:48:40,"64.423024,-23.306416","64.464479,-23.363852"
Leg 14.gpx,2025-05-21,2025-05-21,17:13:21,19:08:41,"64.545497,-23.541344","64.572202,-23.623927"
Leg 12.gpx,2025-05-21,2025-05-21,3:05:10,4:40:45,"64.494504,-23.450739","64.526390,-23.501975"
Leg 13.gpx,2025-05-21,2025-05-21,11:31:37,13:09:17,"64.525984,-23.500583","64.545654,-23.541757"
Leg 11.gpx,2025-05-21,2025-05-21,11:31:37,13:09:17,"64.525984,-23.500583","64.545654,-23.541757"
Leg 10.gpx,2025-05-21,2025-05-21,3:05:10,4:40:45,"64.494504,-23.450739","64.526390,-23.501975"
Leg 15.gpx,2025-05-22,2025-05-22,0:13:33,3:00:02,"64.572101,-23.623679","64.615078,-23.708262"
Leg 16.gpx,2025-05-28,2025-05-28,19:42:24,21:41:52,"64.936042,-24.116844","64.998191,-24.186233"
Leg 17.gpx,2025-05-29,2025-05-29,6:07:20,7:57:27,"64.998127,-24.185966","65.038705,-24.224415"
Leg 20.gpx,2025-05-29,2025-05-29,20:46:36,22:20:36,"65.109887,-24.309827","65.156015,-24.315992"
Leg 18.gpx,2025-05-29,2025-05-29,10:00:29,11:57:08,"65.038342,-24.224207","65.078129,-24.301581"
Leg 19.gpx,2025-05-29,2025-05-29,17:43:26,19:05:11,"65.077467,-24.299594","65.110321,-24.312435"
Leg 21.gpx,2025-05-30,2025-05-30,7:09:46,9:07:30,"65.155762,-24.315223","65.195945,-24.340933"
Leg 22.gpx,2025-05-30,2025-05-30,11:05:14,12:53:41,"65.195675,-24.340589","65.244486,-24.382429"
Leg 23.gpx,2025-05-30,2025-05-30,18:17:53,19:29:07,"65.243801,-24.379313","65.263498,-24.386711"
Leg 24.gpx,2025-05-30,2025-05-30,21:11:30,23:17:40,"65.263160,-24.386673","65.304282,-24.459790"
Leg 26.gpx,2025-05-31,2025-05-31,11:56:51,12:54:03,"65.363303,-24.513112","65.388769,-24.533590"
Leg 25.gpx,2025-05-31,2025-05-31,8:46:49,11:38:09,"65.303212,-24.458399","65.363511,-24.513416"
Leg 28.gpx,2025-06-01,2025-06-01,9:53:59,12:23:28,"65.541109,-24.616918","65.605256,-24.518607"
Leg 29.gpx,2025-06-01,2025-06-01,12:55:31,13:29:38,"65.605067,-24.518303","65.620682,-24.492787"
Leg 30.gpx,2025-06-01,2025-06-01,22:01:16,23:56:18,"65.620614,-24.492707","65.662688,-24.459009"
Leg 33.gpx,2025-06-06,2025-06-06,18:44:29,19:09:18,"65.820945,-24.266726","65.833882,-24.246023"
Leg 32.gpx,2025-06-06,2025-06-06,14:38:53,18:11:40,"65.732672,-24.393797","65.821227,-24.266679"
Leg 31.gpx,2025-06-06,2025-06-06,2:41:01,5:56:52,"65.662036,-24.459774","65.732826,-24.393625"
Leg 35.gpx,2025-06-07,2025-06-07,5:22:00,6:32:13,"65.867049,-24.233171","65.891254,-24.203978"
Leg 34.gpx,2025-06-07,2025-06-07,3:12:22,5:08:51,"65.833597,-24.246732","65.867034,-24.232244"
Leg 36.gpx,2025-06-07,2025-06-07,16:09:10,17:28:32,"65.891019,-24.204063","65.900738,-24.196968"
Leg 39.gpx,2025-06-08,2025-06-08,17:39:22,20:50:08,"65.968895,-24.082277","66.079801,-23.920370"
